CAMHEIGHT,2483.472167,1527.763549,11.136775,318.226348,3
ASEAEAWEA,-1734.899536,-580.837707,35.728515,83.626449,3
KAMPUNG,755.414367,332.615447,20.254943,193.216384,3
PERUMAHAN,1997.216796,712.234985,25.783134,281.322296,3
ICON1,-1606.309082,672.061706,-4.906250,181.022979,3
ICON2,288.851989,166.923919,1007.171875,167.123443,3
ICONCIA,-1715.818481,1018.054138,17.917835,281.099090,3
ICONCIA2,231.062637,107.437065,1010.218750,185.662765,3
SPAWN GETDSPD,288.720489,172.198348,1007.179443,12.916460,3
SPAWN GET2,-1606.648193,678.195312,-5.242187,357.893005,3
GETOUT CIA,-1719.626708,1018.559936,17.585937,260.114837,3
GETIN CIA,229.042617,114.233032,1010.218750,338.601928,3
MAULANA,141.989608,3022.134521,5.530700,81.450347,3
MADCbaseLVdown,2057.949462,2441.993652,10.820302,191.531829,3
MADCbaseLVup,2073.497314,2438.766845,49.522216,185.891860,3
MADCbase,2178.911376,2417.061035,73.033859,84.539375,3
MADCPIER69,-1704.701660,1338.855346,7.180027,315.725463,3
Spawnls1,1954.795776,-1371.868286,19.648437,90.126296,3
Spawnls2,1786.810424,-1298.888427,13.375000,11.056862,3
Spawnls3,2240.143310,-1078.433837,41.610656,127.735824,3
Spawnls4,1479.695678,-1620.305053,14.039297,180.841171,3
Spawnls5,1722.478515,-1629.355957,20.213642,3.726989,3
Spawnls6,1757.254028,-1961.366943,14.117186,333.107849,3
Spawnls7,1232.031005,-2037.606933,61.868083,274.482879,3
Spawnls8,380.015991,-2059.030273,10.721952,6.538700,3
Spawnls9,343.018585,-1795.867187,4.823722,351.715911,3
Spawnls10,405.995361,-1539.071655,32.273437,224.998138,3
PickupBank,595.800048,-1251.503295,18.324462,194.824645,3
PickupVGPD,1555.479614,-1675.596435,16.195312,271.270904,3
PickupFBI,1797.460815,-1579.018554,14.086112,90.120491,3
bankgetout,594.151428,-1245.515747,18.105913,24.339626,3
getoutvgpd,1553.169921,-1675.708618,16.195312,86.211784,3
pickupvgpdgarasi,1568.553588,-1689.970214,6.218750,0.333963,3
getoutvgpdgarasi,1568.592773,-1692.303833,5.890625,182.840911,3
getoutfbi,1799.729492,-1577.203735,14.062500,300.486968,3
pickupfbigarasi,1654.043457,-1654.768188,22.515625,359.057464,3
getoutfbigarasi,1654.941772,-1657.989746,22.515625,182.335830,3
